id,product,mode, rate
1,UVL01,1,1
2,UVL01,2,0.5
3,UVL01,4,0.25
4,UVL01,12,0.083333333
5,UVL02,1,1
6,UVL02,2,0.5
7,UVL02,4,0.25
8,UVL02,12,0.083333333
9,UVL03,1,1
10,UVL03,2,0.5
11,UVL03,4,0.25
12,UVL03,12,0.083333333
13,ILP01,1,1
14,ILP01,2,0.5
15,ILP01,4,0.25
16,ILP01,12,0.083333333
17,HOP02,1,1
18,HOP02,2,0.5
19,HOP02,4,0.25
20,HOP02,12,0.083333333
21,ADD01,1,1
22,ADD01,2,0.5
23,ADD01,4,0.25
24,ADD01,12,0.083333333
25,PPD01,1,1
26,PPD01,2,0.53
27,PPD01,4,0.27
28,PPD01,12,0.09
29,CIR01,1,1
30,CIR01,2,0.53
31,CIR01,4,0.27
32,CIR01,12,0.09
33,CIR02,1,1
34,CIR02,2,0.53
35,CIR02,4,0.27
36,CIR02,12,0.09
37,SUP01,1,1
38,SUP01,2,0.53
39,SUP01,4,0.27
40,SUP01,12,0.09
41,WOP01,1,1
42,WOP01,2,0.53
43,WOP01,4,0.27
44,WOP01,12,0.09
45,WOP02,1,1
46,WOP02,2,0.53
47,WOP02,4,0.27
48,WOP02,12,0.09
